timestamp,date,time,posture_label,posture_text,confidence,neck_angle,spine_angle,shoulder_slope,head_tilt,session_id
2026-05-17T13:54:37.471926,2026-05-17,13:54:37,0,BAD POSTURE,0.9381,46.5,41.9,47.0,52.5,session_20260517_135405
2026-05-17T13:54:53.139658,2026-05-17,13:54:53,0,BAD POSTURE,0.791,27.9,0.9,3.2,1.0,session_20260517_135405
2026-05-17T13:55:01.291246,2026-05-17,13:55:01,0,BAD POSTURE,0.7082,27.4,1.0,1.1,4.1,session_20260517_135405
2026-05-17T13:55:08.706192,2026-05-17,13:55:08,0,BAD POSTURE,0.8338,28.8,6.3,8.6,13.6,session_20260517_135405
2026-05-17T13:55:17.003371,2026-05-17,13:55:17,0,BAD POSTURE,0.8035,27.1,4.2,6.4,5.6,session_20260517_135405
2026-05-17T13:55:25.528113,2026-05-17,13:55:25,1,GOOD POSTURE,0.7973,24.0,4.3,1.4,1.7,session_20260517_135405
2026-05-17T13:55:34.009574,2026-05-17,13:55:34,1,GOOD POSTURE,0.8258,23.8,3.5,0.8,1.9,session_20260517_135405
2026-05-17T13:55:42.451844,2026-05-17,13:55:42,0,BAD POSTURE,0.773,25.6,2.7,2.3,15.2,session_20260517_135405
2026-05-17T13:55:50.906135,2026-05-17,13:55:50,0,BAD POSTURE,0.7266,25.5,2.6,2.5,4.0,session_20260517_135405
2026-05-17T13:55:59.388391,2026-05-17,13:55:59,0,BAD POSTURE,0.9002,68.1,36.5,16.8,39.5,session_20260517_135405
2026-05-17T13:56:05.692602,2026-05-17,13:56:05,0,BAD POSTURE,0.9775,66.1,56.6,46.8,50.8,session_20260517_135405
2026-05-17T13:56:11.413158,2026-05-17,13:56:11,0,BAD POSTURE,0.9121,33.0,11.0,29.7,41.7,session_20260517_135405
2026-05-17T13:56:19.059984,2026-05-17,13:56:19,0,BAD POSTURE,0.9126,27.4,12.7,13.5,33.3,session_20260517_135405
2026-05-17T13:56:26.294829,2026-05-17,13:56:26,1,GOOD POSTURE,0.8562,22.6,2.2,3.5,7.5,session_20260517_135405
2026-05-17T13:56:35.593780,2026-05-17,13:56:35,0,BAD POSTURE,0.7974,28.1,5.4,8.3,6.2,session_20260517_135405
2026-05-17T13:56:44.460315,2026-05-17,13:56:44,0,BAD POSTURE,0.7802,28.0,4.9,4.2,6.1,session_20260517_135405
2026-05-17T13:56:53.455548,2026-05-17,13:56:53,1,GOOD POSTURE,0.8217,17.1,9.9,24.7,6.5,session_20260517_135405
2026-05-17T13:57:03.115768,2026-05-17,13:57:03,0,BAD POSTURE,0.8219,27.0,1.6,0.6,6.2,session_20260517_135405
2026-05-17T13:57:11.491279,2026-05-17,13:57:11,0,BAD POSTURE,0.915,45.4,8.4,10.4,15.1,session_20260517_135405
2026-05-17T13:57:20.350179,2026-05-17,13:57:20,0,BAD POSTURE,0.8061,26.4,2.8,4.3,1.0,session_20260517_135405
2026-05-17T13:57:29.314493,2026-05-17,13:57:29,0,BAD POSTURE,0.8325,29.3,3.2,4.5,4.2,session_20260517_135405
2026-05-17T13:57:38.293414,2026-05-17,13:57:38,0,BAD POSTURE,0.7724,27.1,1.5,1.1,2.3,session_20260517_135405
2026-05-17T13:57:46.891597,2026-05-17,13:57:46,0,BAD POSTURE,0.7543,26.2,0.4,3.1,5.0,session_20260517_135405
2026-05-17T13:57:57.453043,2026-05-17,13:57:57,0,BAD POSTURE,0.7966,26.2,2.9,2.3,4.2,session_20260517_135405
2026-05-17T13:58:10.295811,2026-05-17,13:58:10,0,BAD POSTURE,0.8289,30.9,2.8,1.7,6.2,session_20260517_135405
2026-05-17T13:58:25.279277,2026-05-17,13:58:25,0,BAD POSTURE,0.9531,43.2,20.2,25.0,40.3,session_20260517_135405
2026-05-17T13:58:36.896547,2026-05-17,13:58:36,0,BAD POSTURE,0.7717,26.7,2.6,0.8,0.0,session_20260517_135405
2026-05-17T13:58:45.850319,2026-05-17,13:58:45,0,BAD POSTURE,0.778,32.1,0.6,1.5,4.5,session_20260517_135405
2026-05-17T13:58:53.999967,2026-05-17,13:58:53,0,BAD POSTURE,0.786,28.4,1.4,1.5,2.6,session_20260517_135405
2026-05-17T14:19:31.147519,2026-05-17,14:19:31,0,BAD POSTURE,0.7517,29.2,2.3,0.0,2.5,session_20260517_141856
2026-05-17T14:19:44.577798,2026-05-17,14:19:44,0,BAD POSTURE,0.74,27.1,1.2,1.9,4.0,session_20260517_141856
2026-05-17T14:20:02.748811,2026-05-17,14:20:02,0,BAD POSTURE,0.78,26.7,4.2,5.5,8.1,session_20260517_141856
2026-05-17T14:20:14.909285,2026-05-17,14:20:14,0,BAD POSTURE,0.7172,28.7,0.1,1.5,3.1,session_20260517_141856
2026-05-17T14:20:27.425799,2026-05-17,14:20:27,0,BAD POSTURE,0.71,25.7,1.2,3.2,3.1,session_20260517_141856
2026-05-17T14:21:10.009362,2026-05-17,14:21:10,0,BAD POSTURE,0.7305,28.0,2.9,1.3,2.4,session_20260517_142035
2026-05-17T14:21:24.523047,2026-05-17,14:21:24,0,BAD POSTURE,0.7918,25.7,2.9,3.0,11.7,session_20260517_142035
2026-05-17T14:23:51.880337,2026-05-17,14:23:51,0,BAD POSTURE,0.8035,26.5,2.8,0.6,2.5,session_20260517_142308
2026-05-17T14:24:07.847305,2026-05-17,14:24:07,0,BAD POSTURE,0.7676,31.6,4.2,4.1,4.9,session_20260517_142308
2026-05-17T14:24:22.654001,2026-05-17,14:24:22,0,BAD POSTURE,0.7139,25.3,3.6,2.6,2.3,session_20260517_142308
2026-05-17T14:24:35.913473,2026-05-17,14:24:35,0,BAD POSTURE,0.8326,28.0,6.8,7.5,2.8,session_20260517_142308
2026-05-17T14:30:59.355848,2026-05-17,14:30:59,0,BAD POSTURE,0.6661,36.2,0.2,1.2,0.5,session_20260517_143031
2026-05-17T14:31:05.821330,2026-05-17,14:31:05,0,BAD POSTURE,0.7237,36.6,5.3,1.9,10.0,session_20260517_143031
2026-05-17T14:31:12.886291,2026-05-17,14:31:12,0,BAD POSTURE,0.7556,37.0,11.0,17.0,18.3,session_20260517_143031
2026-05-17T14:31:21.636550,2026-05-17,14:31:21,1,GOOD POSTURE,0.7632,27.4,2.8,2.3,2.3,session_20260517_143031
2026-05-17T14:31:36.057648,2026-05-17,14:31:36,1,GOOD POSTURE,0.8136,18.6,1.0,18.9,13.6,session_20260517_143031
2026-05-17T14:31:49.793202,2026-05-17,14:31:49,1,GOOD POSTURE,0.6721,26.4,13.5,11.9,17.1,session_20260517_143031
2026-05-17T14:32:01.385942,2026-05-17,14:32:01,1,GOOD POSTURE,0.8418,23.4,4.6,4.4,6.2,session_20260517_143031
2026-05-17T14:34:46.925323,2026-05-17,14:34:46,1,GOOD POSTURE,0.7498,28.0,9.1,18.2,7.7,session_20260517_143412
2026-05-17T14:35:01.614351,2026-05-17,14:35:01,1,GOOD POSTURE,0.8543,24.6,14.0,5.1,24.8,session_20260517_143412
2026-05-17T14:35:15.449511,2026-05-17,14:35:15,0,BAD POSTURE,0.9579,49.1,28.7,45.7,40.9,session_20260517_143412
2026-05-17T14:36:37.230005,2026-05-17,14:36:37,0,BAD POSTURE,0.9884,50.1,55.2,59.9,52.4,session_20260517_143625
2026-05-17T14:37:06.202280,2026-05-17,14:37:06,1,GOOD POSTURE,0.7401,26.5,0.5,1.1,0.7,session_20260517_143652
2026-05-17T14:37:17.539434,2026-05-17,14:37:17,0,BAD POSTURE,0.6137,15.3,11.4,7.5,5.8,session_20260517_143652
2026-05-17T14:37:28.311530,2026-05-17,14:37:28,0,BAD POSTURE,0.9816,38.1,19.6,14.1,23.6,session_20260517_143652
2026-05-17T14:37:38.950702,2026-05-17,14:37:38,1,GOOD POSTURE,0.7265,26.1,1.6,0.6,1.8,session_20260517_143652
2026-05-17T14:37:50.030287,2026-05-17,14:37:50,1,GOOD POSTURE,0.8347,24.6,1.5,0.2,0.9,session_20260517_143652
2026-05-17T14:38:00.937540,2026-05-17,14:38:00,0,BAD POSTURE,0.6502,28.8,4.1,1.2,0.4,session_20260517_143652
2026-05-17T14:38:07.556179,2026-05-17,14:38:07,0,BAD POSTURE,0.6315,34.0,2.6,1.9,2.2,session_20260517_143652
2026-05-17T14:38:14.201601,2026-05-17,14:38:14,0,BAD POSTURE,0.6765,28.2,2.1,2.9,6.7,session_20260517_143652
2026-05-17T14:38:25.503464,2026-05-17,14:38:25,0,BAD POSTURE,0.9758,35.4,22.2,26.8,38.3,session_20260517_143652
2026-05-17T14:38:36.399458,2026-05-17,14:38:36,0,BAD POSTURE,0.7023,39.5,0.6,0.2,1.3,session_20260517_143652
2026-05-17T14:38:42.778989,2026-05-17,14:38:42,0,BAD POSTURE,0.7325,42.2,2.2,2.4,1.5,session_20260517_143652
2026-05-17T14:38:49.404351,2026-05-17,14:38:49,0,BAD POSTURE,0.5255,26.7,7.1,6.8,4.3,session_20260517_143652
2026-05-17T14:38:57.020207,2026-05-17,14:38:57,1,GOOD POSTURE,0.6841,25.1,0.4,5.9,5.1,session_20260517_143652
2026-05-17T14:39:09.167027,2026-05-17,14:39:09,1,GOOD POSTURE,0.6419,24.2,4.2,5.9,7.4,session_20260517_143652
2026-05-17T14:39:20.238680,2026-05-17,14:39:20,0,BAD POSTURE,0.7236,30.0,5.7,4.3,6.1,session_20260517_143652
2026-05-17T14:40:12.439154,2026-05-17,14:40:12,0,BAD POSTURE,0.7148,46.0,2.9,0.8,2.0,session_20260517_143958
2026-05-17T14:40:19.773596,2026-05-17,14:40:19,1,GOOD POSTURE,0.528,26.3,1.2,2.7,15.0,session_20260517_143958
2026-05-17T14:40:26.635623,2026-05-17,14:40:26,0,BAD POSTURE,0.719,29.3,3.9,0.9,2.2,session_20260517_143958
2026-05-17T14:40:34.009109,2026-05-17,14:40:34,1,GOOD POSTURE,0.7757,27.2,2.6,6.3,0.8,session_20260517_143958
2026-05-17T14:40:41.375457,2026-05-17,14:40:41,1,GOOD POSTURE,0.6185,24.4,0.3,3.8,14.3,session_20260517_143958
2026-05-17T14:40:48.551670,2026-05-17,14:40:48,0,BAD POSTURE,0.9691,39.9,18.6,49.1,14.0,session_20260517_143958
2026-05-17T14:40:55.653801,2026-05-17,14:40:55,0,BAD POSTURE,0.7203,41.2,1.6,5.7,0.0,session_20260517_143958
2026-05-17T14:41:02.655709,2026-05-17,14:41:02,0,BAD POSTURE,0.8894,18.4,11.6,38.3,10.8,session_20260517_143958
2026-05-17T14:41:09.881146,2026-05-17,14:41:09,1,GOOD POSTURE,0.532,27.5,4.0,4.6,4.6,session_20260517_143958
2026-05-17T14:41:18.286233,2026-05-17,14:41:18,0,BAD POSTURE,0.7298,30.5,2.9,5.7,6.2,session_20260517_143958
2026-05-17T14:43:17.601853,2026-05-17,14:43:17,0,BAD POSTURE,0.8958,22.2,0.0,14.9,18.0,session_20260517_144303
2026-05-17T14:43:38.462981,2026-05-17,14:43:38,0,BAD POSTURE,0.8333,14.0,5.1,60.1,6.6,session_20260517_144303
2026-05-17T14:43:49.554887,2026-05-17,14:43:49,1,GOOD POSTURE,0.6629,26.0,2.0,1.7,2.3,session_20260517_144303
2026-05-17T14:43:58.849422,2026-05-17,14:43:58,0,BAD POSTURE,0.7458,51.9,0.2,7.3,4.4,session_20260517_144303
2026-05-17T14:44:05.438030,2026-05-17,14:44:05,0,BAD POSTURE,0.7606,52.6,2.9,2.9,5.0,session_20260517_144303
2026-05-17T14:44:11.685271,2026-05-17,14:44:11,0,BAD POSTURE,0.802,49.5,1.9,1.6,4.4,session_20260517_144303
